activityId,user,date,time,riskScore,integration,policiesBreached,values,status,managerAction
"01JHH7WWMQ1BB072E5S7JSQAKR",olivia.carter@zenith.com,13/01/2025,13:27,1640,si-email,"{""dataLeakage"":[""emailWasSentToExternalDomain"",""emailContainedDocuments""],""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""jacob.olson@icloud.com""]}",concern,escalated
"01JHH7WWKRR65N3JPH6KJ5VVD7",lily.martinez@zenith.com,13/01/2025,12:37,1580,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain"",""emailContainedPDFs""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""lilym1983@gmail.com""]}",concern,employeeCounselled
"01JHH7WVT2SEN4SN5S18E6CKAB",aiden.martin@zenith.com,13/01/2025,12:10,1680,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain"",""emailContainedPDFs""]}","{""destinations"":[""james.smith@auditpartner.com""]}",underReview,
"01JHH7WVXWXNEX1Y71MP44KY0T",jacob.moore@zenith.com,13/01/2025,11:54,2840,si-usb,"{""dataLeakage"":[""usbCopiedToUSB"",""usbContainedZipFiles""],""sensitive"":[""usbContainedConfidentialData""]}","{""device"":""Jacob's personal drive""}",underReview,
"01JHH7WVTAAH6T44J4TF0X59TF",aiden.martin@zenith.com,13/01/2025,11:52,1620,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToPersonalEmailAddress"",""emailContainedSpreadsheets""],""phi"":[""emailContainedPHI""]}","{""destinations"":[""aiden.martin@icloud.com""]}",underReview,
"01JHH7WVY385DAVHXNWS5880PX",jacob.moore@zenith.com,13/01/2025,11:28,1680,si-application,"{""dataLeakage"":[""applicationLargeExport""],""sensitive"":[""applicationExportedConfidentialData""]}","{""application"":""CRM""}",underReview,
"01JHH7WVW2C06NE7NARD4NJQRP",ava.hill@zenith.com,13/01/2025,11:25,1800,si-application,"{""dataLeakage"":[""applicationLargeExport""],""sensitive"":[""applicationExportedConfidentialData""],""financial"":[""applicationExportContainedBankAccountNumbers"",""applicationExportContainedFinancialData""],""pci"":[""applicationExportContainedCreditCardNumbers""]}","{""application"":""CRM""}",underReview,
"01JHH7WWM88YTJXT1Q8WHWSXWR",mason.taylor@zenith.com,13/01/2025,11:17,1720,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailContainedPDFs""],""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""sophie.james@brdconsulting.com""]}",trusted,knownGoodActivity
"01JHH7WW1XWDZXCQKKMJPH5SP1",oliver.wright@zenith.com,13/01/2025,10:43,830,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailContainedPDFs""]}","{""destinations"":[""zoe.scott@gmail.com""]}",underReview,
"01JHH7WVZ9JTPD7B1DPPY9506F",owen.phillips@zenith.com,13/01/2025,10:42,1510,si-cloud,"{""dataLeakage"":[""cloudUploadContainedDocuments"",""cloudUploadContainedPDFs"",""cloudUploadContainedPresentations"",""cloudUploadContainedZipFiles"",""cloudUploadContainedSpreadsheets""],""userAtRisk"":[""cloudUserProductivityMonitored""],""sensitive"":[""cloudUploadContainedConfidentialData""]}","{""cloudProvider"":""Dropbox""}",underReview,
"01JHH7WVVMRW54KKWATYWPQ28X",amelia.white@zenith.com,13/01/2025,10:00,1600,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain"",""emailContainedPDFs"",""emailContainedSpreadsheets""],""financial"":[""emailContainedFinancialData""]}","{""destinations"":[""noah.fisher@lawfirm.com""]}",underReview,
"01JHH7WXF8YHR7H5JFNMRYVP3P",harper.bailey@zenith.com,13/01/2025,09:49,1620,si-application,"{""dataLeakage"":[""applicationLargeExport""],""sensitive"":[""applicationExportedConfidentialData""]}","{""application"":""Workday""}",nonConcern,
"01JHH7WVV12BEE6SY66VQ2FSS8",alexander.lopez@zenith.com,13/01/2025,09:49,1000,si-usb,"{""dataLeakage"":[""usbCopiedToUSB""],""sensitive"":[""usbContainedConfidentialData""],""userAtRisk"":[""usbPerformanceImprovementPlan""],""financial"":[""usbContainedFinancialData""]}","{""device"":""Lexar 16Gb""}",underReview,
"01JHH7WVTS38NG35ZR4XZEKN84",alexander.lopez@zenith.com,13/01/2025,09:46,1950,si-application,"{""dataLeakage"":[""applicationHighRiskDownload""],""userAtRisk"":[""applicationPerformanceImprovementPlan""],""sensitive"":[""applicationExportedConfidentialData""]}","{""application"":""Oracle""}",underReview,
"01JHH7WW13FBABQG59ZHY2Z4YM",caleb.ross@zenith.com,13/01/2025,09:30,530,si-email,"{""dataLeakage"":[""emailWasSentToExternalDomain"",""emailContainedDocuments"",""emailContainedPDFs"",""emailContainedSpreadsheets""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""james@zenmarketing.com""]}",underReview,
"01JHH7WVWHDYRZXQDGJDFX6VHX",charlotte.wood@zenith.com,13/01/2025,09:16,1500,si-cloud,"{""userAtRisk"":[""cloudUserUnderEnhancedMonitoring"",""cloudUserProductivityMonitored""]}","{""cloudProvider"":""Dropbox""}",underReview,
"01JHH7WWK9WN33EA7Z9B1BE3QD",ava.johnson@zenith.com,13/01/2025,09:16,1820,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain"",""emailContainedSpreadsheets""],""pci"":[""emailContainedCreditCardNumbers""]}","{""destinations"":[""lucas.miller@gmail.com""]}",concern,escalated
"01JHH7WW5Q5SV4FR50TNEFXTP2",mia.wilson@zenith.com,12/01/2025,17:00,540,si-email,"{""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""noah.davis@gmail.com""]}",underReview,
"01JHH7WWSNGJCFJPCYFDG220ZK",mia.green@zenith.com,12/01/2025,16:52,1710,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""userAtRisk"":[""emailEnhancedMonitoring""],""pii"":[""emailContainedPII""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",concern,employeeCounselled
"01JHH7WWS8GCYYS2YK5324S9VY",maddisson.brown@zenith.com,12/01/2025,16:41,1680,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",concern,employeeCounselled
"01JHH7WWNY914MAKYRN1YKK1TM",christian.barnes@zenith.com,12/01/2025,16:15,1650,si-email,"{""userAtRisk"":[""emailEnhancedMonitoring""],""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",concern,employeeCounselled
"01JHH7WW3Y468YFKHQRC0EPAZ0",james.harris@zenith.com,12/01/2025,16:00,730,si-email,"{""userAtRisk"":[""emailEnhancedMonitoring""],""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""mia.robinson@gmail.com""]}",underReview,
"01JHH7WW65YH0VR8KXYRH5QK5F",michael.lee@zenith.com,12/01/2025,15:30,680,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""jackson.harris@gmail.com""]}",underReview,
"01JHH7WWPZE1V005KG6AZR07VA",jacob.moore@zenith.com,12/01/2025,14:53,2500,si-email,"{""dataLeakage"":[""emailContainedSpreadsheets""],""financial"":[""emailContainedFinancialData""],""sensitive"":[""emailContainedInternalData"",""emailContainedConfidentialData""]}","{""destinations"":[""katie.maxwell@researchpartners.com""]}",nonConcern,knownGoodActivity
"01JHH7WW6KZ1ACNTGZ67GEHKV8",sophia.moore@zenith.com,12/01/2025,14:30,780,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""pci"":[""emailContainedCreditCardNumbers""]}","{""destinations"":[""ava.lee@gmail.com""]}",underReview,
"01JHH7WWQKFKYR2QX2ZFYVH608",julian.lewis@zenith.com,12/01/2025,13:46,2230,si-email,"{""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",trusted,knownGoodActivity
"01JHH7WW3H46R9Q3RRA2PTS5F0",isabella.lewis@zenith.com,12/01/2025,13:45,920,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""harper.walker@gmail.com""]}",underReview,
"01JHH7WW2BJM8ENJ6MBRWF5QE3",alexander.white@zenith.com,12/01/2025,13:15,590,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""userAtRisk"":[""emailEnhancedMonitoring""],""pii"":[""emailContainedPII""]}","{""destinations"":[""olivia.scott@gmail.com""]}",underReview,
"01JHH7WWV3MFJWTNYSNAG4RCVH",ruby.cook@zenith.com,12/01/2025,13:06,2310,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",nonConcern,
"01JHH7WWPCSX33T67835Y6W34M",jack.young@zenith.com,12/01/2025,12:10,1810,si-email,"{""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",nonConcern,
"01JHH7WWNEMNWVERXDDAQ7AQNJ",caleb.ross@zenith.com,12/01/2025,11:58,2200,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""pci"":[""emailContainedCreditCardNumbers""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",nonConcern,
"01JHH7WWRS3D58PGBS6KAAFB69",logan.robinson@zenith.com,12/01/2025,11:45,1590,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""userAtRisk"":[""emailEnhancedMonitoring""],""pii"":[""emailContainedPII""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",nonConcern,
"01JHH7WW59P2PY66DW1BT9FSXP",logan.brown@zenith.com,12/01/2025,11:15,600,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""emily.martin@gmail.com""]}",underReview,
"01JHH7WW2QR2DEBA9KRFM9F0BQ",emma.robinson@zenith.com,12/01/2025,11:00,710,si-email,"{""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""amelia.hall@gmail.com""]}",underReview,
"01JHH7WWTMK9QCEQ3JC96A9B7G",noah.lee@zenith.com,12/01/2025,10:42,1630,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",concern,escalated
"01JHH7WW4VZ7WW8309V0JJAXPT",liam.adams@zenith.com,12/01/2025,09:45,540,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""liam.jones@gmail.com""]}",underReview,
"01JHH7WWT321VBVPA53P20G0KF",nathan.perez@zenith.com,12/01/2025,09:33,1510,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",nonConcern,
"01JHH7WW344EECJT4VR5W6GRMX",ethan.turner@zenith.com,12/01/2025,09:30,550,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""lucas.wright@gmail.com""]}",underReview,
"01JHH7WWA61QZF8C2KNYR5DTJX",mia.green@zenith.com,11/01/2025,16:52,840,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""userAtRisk"":[""emailEnhancedMonitoring""],""pii"":[""emailContainedPII""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WW9R976DD8C46JCYNM46",maddisson.brown@zenith.com,11/01/2025,16:41,760,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WX03BQPDDCSTR7Q9HFX8",sally.lloyd@zenith.com,11/01/2025,16:36,1570,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""pci"":[""emailContainedCreditCardNumbers""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",nonConcern,
"01JHH7WW7FCV0PH16JKHN4VCGK",christian.barnes@zenith.com,11/01/2025,16:15,530,si-email,"{""userAtRisk"":[""emailEnhancedMonitoring""],""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WWY756ZQA76X4R1ZZRM8",kurt.ferrell@zenith.com,11/01/2025,14:40,1690,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",nonConcern,
"01JHH7WWXSKYBRB8GGBGV2GM3G",kathy.spence@zenith.com,11/01/2025,14:23,1560,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",concern,employeeCounselled
"01JHH7WWVKTESGFJDF3NTKA4GA",cesar.middleton@zenith.com,11/01/2025,14:19,1570,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""userAtRisk"":[""emailEnhancedMonitoring""],""pii"":[""emailContainedPII""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",concern,employeeCounselled
"01JHH7WW8KQFK1C7B3D3W8HHQM",julian.lewis@zenith.com,11/01/2025,13:46,660,si-email,"{""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WWZ78ZZBK70AGPVJBS9B",lyndon.joycer@zenith.com,11/01/2025,13:43,1630,si-email,"{""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",nonConcern,
"01JHH7WWCZX6D6K6CY61NRJYN1",ruby.cook@zenith.com,11/01/2025,13:06,930,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WWW2M27GQYJT9HDXFD16",damion.galvan@zenith.com,11/01/2025,13:05,1880,si-email,"{""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",nonConcern,
"01JHH7WW7WETCF2343XAXZJ1P4",jack.young@zenith.com,11/01/2025,12:10,750,si-email,"{""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WW7029DGRW8RAXVR7DXF",caleb.ross@zenith.com,11/01/2025,11:58,890,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""pci"":[""emailContainedCreditCardNumbers""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WW97E2ZGWA6K42V9EKN6",logan.robinson@zenith.com,11/01/2025,11:45,610,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""userAtRisk"":[""emailEnhancedMonitoring""],""pii"":[""emailContainedPII""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WWX6N3EPQ592DRGNKCXG",jacob.moore@zenith.com,11/01/2025,11:18,1720,si-cloud,"{""dataLeakage"":[""cloudUploadContainedDocuments""],""sensitive"":[""cloudUploadContainedConfidentialData""]}","{""cloudProvider"":""Dropbox""}",trusted,
"01JHH7WWWG20YPHFN5BV30M54E",hannah.fischer@zenith.com,11/01/2025,10:53,1930,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",nonConcern,
"01JHH7WWZNP8SS7QN7NAY5ZRMT",royce.orr@zenith.com,11/01/2025,10:48,2420,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",concern,escalated
"01JHH7WWC6VE2B5S2FQ10JC3BS",noah.lee@zenith.com,11/01/2025,10:42,520,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WWAKZN2BZJD5F9ZX44WF",nathan.perez@zenith.com,11/01/2025,09:33,880,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WWYQCCTKE17JTT85W9QJ",len.archer@zenith.com,11/01/2025,09:19,1720,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",concern,employeeCounselled
"01JHH7WX59DSG91R4E7D4RNMSR",robert.martin@zenith.com,10/01/2025,17:02,2300,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""sandra.jackson@gmail.com""]}",concern,escalated
"01JHH7WWJCQTMY52QQY68W8M3Z",sally.lloyd@zenith.com,10/01/2025,16:36,610,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""pci"":[""emailContainedCreditCardNumbers""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WX15ZH5GN2G8GP9J2C9A",barbara.taylor@zenith.com,10/01/2025,16:10,1810,si-email,"{""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""nancy.anderson@gmail.com""]}",nonConcern,
"01JHH7WX3NAWNGH0H76M41B3VB",linda.wilson@zenith.com,10/01/2025,16:01,1680,si-email,"{""userAtRisk"":[""emailEnhancedMonitoring""],""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""daniel.moore@gmail.com""]}",trusted,knownGoodActivity
"01JHH7WWFV0KKQ6DFYWYRKKQJR",katie.maxwell@zenith.com,10/01/2025,14:53,590,si-email,"{""userAtRisk"":[""emailEnhancedMonitoring""],""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WWGGPCPVGQJEQQ0QV3JZ",kurt.ferrell@zenith.com,10/01/2025,14:40,860,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WX2VGNTX90X8Z831EJY1",james.hall@zenith.com,10/01/2025,14:30,1540,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""sandra.jackson@gmail.com""]}",nonConcern,
"01JHH7WWF13M4GMG0BVF41CAEJ",kathy.spence@zenith.com,10/01/2025,14:23,530,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WX1K7BN8SS2BKYFJGAR3",emily.martin@zenith.com,10/01/2025,14:20,2320,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""steven.brown@gmail.com""]}",concern,employeeCounselled
"01JHH7WWDK3JBD6BKJWSTYS6RS",cesar.middleton@zenith.com,10/01/2025,14:19,540,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""userAtRisk"":[""emailEnhancedMonitoring""],""pii"":[""emailContainedPII""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WX28TN97TMCD2Z1ZE92S",jacob.moore@zenith.com,10/01/2025,14:02,1910,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailContainedSpreadsheets"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""jmoore@gmail.com""]}",concern,employeeCounselled
"01JHH7WWHBN1NB67ERX7NZM7JB",lyndon.joycer@zenith.com,10/01/2025,13:43,540,si-email,"{""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WWE0621W893006TGQ740",damion.galvan@zenith.com,10/01/2025,13:05,550,si-email,"{""financial"":[""emailContainedBankAccountNumbers"",""emailContainedFinancialData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WX5PDQ2MMG7XGZ9ZHYZM",william.brown@zenith.com,10/01/2025,13:01,1560,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""pci"":[""emailContainedCreditCardNumbers""]}","{""destinations"":[""amanda.davis@gmail.com""]}",nonConcern,
"01JHH7WX4WV00XZJ3G8CH4XV9K",rhea.wagner@zenith.com,10/01/2025,12:53,1520,si-email,"{""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""susan.white@gmail.com""]}",trusted,knownGoodActivity
"01JHH7WX420ZCYRJYTQFAMRSW4",michael.douglas@zenith.com,10/01/2025,12:45,1550,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""sarah.jones@gmail.com""]}",nonConcern,
"01JHH7WWEMDDRZ4N4E6J8WN7H5",hannah.fischer@zenith.com,10/01/2025,10:53,860,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""phi"":[""emailContainedPHI""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WWHRHMG14HP2F8AWQ51Y",royce.orr@zenith.com,10/01/2025,10:48,550,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
"01JHH7WX0JT29BAAFA6T6D7RR6",alison.carter@zenith.com,10/01/2025,10:30,1520,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""userAtRisk"":[""emailEnhancedMonitoring""],""pii"":[""emailContainedPII""]}","{""destinations"":[""daniel.smith@gmail.com""]}",concern,employeeCounselled
"01JHH7WWGX0SGB6XT6QV73BD6G",len.archer@zenith.com,10/01/2025,09:19,920,si-email,"{""dataLeakage"":[""emailContainedDocuments"",""emailWasSentToExternalDomain""],""sensitive"":[""emailContainedInternalData""]}","{""destinations"":[""charlotte.lane@gmail.com""]}",underReview,
